symbol,n_trades,n_long_entries,n_short_entries,raw_firings_pos,raw_firings_neg,alpha_pct,total_return_pct,buy_hold_pct,sharpe_ann,max_dd_pct,win_rate_pct,profit_factor,oos_days
HBARUSDT,0,0,0,0,0,39.81,0.0,-39.81,0.0,0.0,0.0,0.0,166
AXSUSDT,0,0,0,0,0,-13.37,0.0,13.37,0.0,0.0,0.0,0.0,166
COMPUSDT,0,0,0,0,0,25.48,0.0,-25.48,0.0,0.0,0.0,0.0,166
LINKUSDT,0,0,0,0,0,51.01,0.0,-51.01,0.0,0.0,0.0,0.0,152
UNIUSDT,0,0,0,0,0,55.33,0.0,-55.33,0.0,0.0,0.0,0.0,166
ETCUSDT,0,0,0,0,0,43.09,0.0,-43.09,0.0,0.0,0.0,0.0,166
LDOUSDT,0,0,0,0,0,49.07,0.0,-49.07,0.0,0.0,0.0,0.0,166
AVAXUSDT,0,0,0,0,0,53.46,0.0,-53.46,0.0,0.0,0.0,0.0,152
SOLUSDT,0,0,0,0,0,40.43,0.0,-40.43,0.0,0.0,0.0,0.0,166
DOGEUSDT,0,0,0,0,0,51.46,0.0,-51.46,0.0,0.0,0.0,0.0,152
